State,white,nonwhite,religiosity,propagelessthan25,republican leaning,people_fully_vaccinated_per_hund
Alabama,0.654,0.346,0.54,0.324,0.52,0.47630001
Alaska,0.6,0.4,0.28,0.352,0.39,0.56330002
Arizona,0.542,0.458,0.31,0.333,0.4,0.5700999800000001
Arkansas,0.721,0.279,0.5,0.334,0.46,0.5120999900000001
California,0.364,0.636,0.29,0.329,0.3,0.6607
Colorado,0.678,0.322,0.3,0.32,0.41,0.66220001
Connecticut,0.657,0.343,0.29,0.303,0.32,0.74599998
Delaware,0.614,0.386,0.35,0.299,0.29,0.64160004
Florida,0.53,0.47,0.35,0.289,0.37,0.63360001
Georgia,0.52,0.48,0.44,0.342,0.41,0.51080002
Hawaii,0.204,0.796,0.28,0.3,0.28,0.63630001
Idaho,0.816,0.184,0.39,0.352,0.49,0.4623
Illinois,0.609,0.391,0.35,0.324,0.33,0.64040001
Indiana,0.786,0.214,0.42,0.337,0.42,0.52
Iowa,0.853,0.147,0.37,0.333,0.41,0.5895999900000001
Kansas,0.757,0.243,0.44,0.349,0.46,0.5702
Kentucky,0.845,0.155,0.45,0.326,0.44,0.5420999900000001
Louisiana,0.588,0.412,0.52,0.338,0.41,0.5025999800000001
Maine,0.932,0.068,0.22,0.265,0.36,0.7582
Maryland,0.499,0.501,0.36,0.314,0.31,0.7040000200000001
Massachusetts,0.705,0.295,0.26,0.296,0.27,0.7458000199999999
Michigan,0.749,0.251,0.36,0.318,0.34,0.56810001
Minnesota,0.791,0.209,0.37,0.325,0.39,0.65419998
Mississippi,0.566,0.434,0.59,0.343,0.44,0.4807
Missouri,0.794,0.206,0.39,0.321,0.41,0.5302999899999999
Montana,0.861,0.139,0.32,0.311,0.49,0.5402
Nebraska,0.785,0.215,0.46,0.348,0.47,0.59849998
Nevada,0.478,0.522,0.26,0.318,0.37,0.56439999
New Hampshire,0.898,0.102,0.23,0.279,0.35,0.6716999800000001
New Jersey,0.545,0.455,0.32,0.312,0.3,0.70489998
New Mexico,0.367,0.633,0.38,0.33,0.37,0.6625
New York,0.552,0.448,0.31,0.303,0.28,0.7176999700000001
North Carolina,0.627,0.373,0.46,0.321,0.41,0.56740002
North Dakota,0.841,0.159,0.4,0.347,0.5,0.52549999
Ohio,0.786,0.214,0.37,0.319,0.42,0.5525
Oklahoma,0.65,0.35,0.45,0.347,0.45,0.5347999999999999
Oregon,0.75,0.25,0.28,0.298,0.32,0.6644999699999999
Pennsylvania,0.76,0.24,0.36,0.298,0.39,0.63849998
Rhode Island,0.705,0.295,0.32,0.295,0.3,0.7644999699999999
South Carolina,0.637,0.363,0.5,0.312,0.43,0.53119999
South Dakota,0.819,0.181,0.37,0.339,0.53,0.5709000000000001
Tennessee,0.736,0.264,0.49,0.321,0.48,0.51360001
Texas,0.411,0.589,0.43,0.366,0.39,0.5695999900000001
Utah,0.778,0.222,0.54,0.417,0.54,0.58799999
Vermont,0.928,0.072,0.16,0.281,0.29,0.77389999
Virginia,0.613,0.387,0.38,0.318,0.43,0.67949997
Washington,0.675,0.325,0.28,0.314,0.33,0.67919998
West Virginia,0.925,0.075,0.38,0.293,0.43,0.55060001
Wisconsin,0.811,0.189,0.35,0.315,0.42,0.61959999
Wyoming,0.838,0.162,0.36,0.334,0.57,0.4752
